author_rate,chunk_rate,chunk_name
0.166666667,0.012820513,DiodorusSic_Book11-1
0.166666667,0.012820513,DiodorusSic_Book11-10
0.166666667,0.012820513,DiodorusSic_Book11-11
0.166666667,0.012820513,DiodorusSic_Book11-12
0.166666667,0.012820513,DiodorusSic_Book11-2
0.166666667,0.012820513,DiodorusSic_Book11-3
0.166666667,0.012820513,DiodorusSic_Book11-4
0.166666667,0.012820513,DiodorusSic_Book11-5
0.166666667,0.012820513,DiodorusSic_Book11-6
0.166666667,0.012820513,DiodorusSic_Book11-7
0.166666667,0.012820513,DiodorusSic_Book11-8
0.166666667,0.012820513,DiodorusSic_Book11-9
0.166666667,0.010416667,Herodotus_Book1-1
0.166666667,0.010416667,Herodotus_Book1-10
0.166666667,0.010416667,Herodotus_Book1-11
0.166666667,0.010416667,Herodotus_Book1-12
0.166666667,0.010416667,Herodotus_Book1-13
0.166666667,0.010416667,Herodotus_Book1-14
0.166666667,0.010416667,Herodotus_Book1-15
0.166666667,0.010416667,Herodotus_Book1-2
0.166666667,0.010416667,Herodotus_Book1-3
0.166666667,0.010416667,Herodotus_Book1-4
0.166666667,0.010416667,Herodotus_Book1-5
0.166666667,0.010416667,Herodotus_Book1-6
0.166666667,0.010416667,Herodotus_Book1-7
0.166666667,0.010416667,Herodotus_Book1-8
0.166666667,0.010416667,Herodotus_Book1-9
0.166666667,0.015151515,Plutarch_Alcibiades-1
0.166666667,0.015151515,Plutarch_Alcibiades-2
0.166666667,0.015151515,Plutarch_Alcibiades-3
0.166666667,0.015151515,Plutarch_Alcibiades-4
0.166666667,0.015151515,Plutarch_Alcibiades-5
0.166666667,0.015151515,Plutarch_Lycurgus-1
0.166666667,0.015151515,Plutarch_Lycurgus-2
0.166666667,0.015151515,Plutarch_Lycurgus-3
0.166666667,0.015151515,Plutarch_Lycurgus-4
0.166666667,0.004385965,Polybius_Book1-1
0.166666667,0.004385965,Polybius_Book1-10
0.166666667,0.004385965,Polybius_Book1-11
0.166666667,0.004385965,Polybius_Book1-12
0.166666667,0.004385965,Polybius_Book1-13
0.166666667,0.004385965,Polybius_Book1-2
0.166666667,0.004385965,Polybius_Book1-3
0.166666667,0.004385965,Polybius_Book1-4
0.166666667,0.004385965,Polybius_Book1-5
0.166666667,0.004385965,Polybius_Book1-6
0.166666667,0.004385965,Polybius_Book1-7
0.166666667,0.004385965,Polybius_Book1-8
0.166666667,0.004385965,Polybius_Book1-9
0.166666667,0.004385965,Polybius_Book10-1
0.166666667,0.004385965,Polybius_Book10-2
0.166666667,0.004385965,Polybius_Book10-3
0.166666667,0.004385965,Polybius_Book10-4
0.166666667,0.004385965,Polybius_Book10-5
0.166666667,0.004385965,Polybius_Book10-6
0.166666667,0.004385965,Polybius_Book10-7
0.166666667,0.004385965,Polybius_Book2-1
0.166666667,0.004385965,Polybius_Book2-2
0.166666667,0.004385965,Polybius_Book2-3
0.166666667,0.004385965,Polybius_Book2-4
0.166666667,0.004385965,Polybius_Book2-5
0.166666667,0.004385965,Polybius_Book2-6
0.166666667,0.004385965,Polybius_Book2-7
0.166666667,0.004385965,Polybius_Book2-8
0.166666667,0.004385965,Polybius_Book2-9
0.166666667,0.004385965,Polybius_Book9-1
0.166666667,0.004385965,Polybius_Book9-2
0.166666667,0.004385965,Polybius_Book9-3
0.166666667,0.004385965,Polybius_Book9-4
0.166666667,0.004385965,Polybius_Book9-5
0.166666667,0.013888889,Thucydides_Book1-1
0.166666667,0.013888889,Thucydides_Book1-10
0.166666667,0.013888889,Thucydides_Book1-11
0.166666667,0.013888889,Thucydides_Book1-2
0.166666667,0.013888889,Thucydides_Book1-3
0.166666667,0.013888889,Thucydides_Book1-4
0.166666667,0.013888889,Thucydides_Book1-5
0.166666667,0.013888889,Thucydides_Book1-6
0.166666667,0.013888889,Thucydides_Book1-7
0.166666667,0.013888889,Thucydides_Book1-8
0.166666667,0.013888889,Thucydides_Book1-9
