,,#-pred-v-adv-v,,#-pred-v-obj-a,,#-pred-v-obj-p
Aesch_Ag,,2.022469475,,1.149158636,,-0.143214943
Aesch_Ch,,0.915349507,,1.167982363,,0.377729048
Aesch_Eum,,1.061586052,,0.583914594,,0.158801691
Aesch_Pers,,-0.42851733,,1.665832756,,-0.740856388
Aesch_Prom,,-1.083400268,,1.964626333,,1.331675063
Aesch_Sept,,0.569921714,,0.748102302,,-0.452928586
Aesch_Sup,,-0.603156926,,1.049933493,,-0.083750905
Athen_12-13,,0.099804168,,-0.962273235,,-0.839994034
DiodSic_11,,0.724945425,,-0.930336324,,-1.731760954
Hdt_1,,0.488356839,,-1.11355016,,-0.569592488
Hesiod_Op,,0.58952784,,0.237734704,,-0.539314569
Hesiod_Sh,,2.444034614,,-0.763397997,,-0.742784844
Hesiod_Th,,0.85844866,,-0.488743449,,-0.657117588
Iliad_1-4,,-0.556596335,,-0.557241811,,1.011145508
Iliad_13-16,,0.701551778,,-0.404245757,,0.002082247
Iliad_17-20,,1.018127751,,-0.714810113,,0.207882468
Iliad_21-24,,0.419327251,,-0.675284757,,0.359830547
Iliad_5-8,,-0.421737473,,-0.399565047,,0.378989455
Iliad_9-12,,-0.557276678,,-0.233334344,,0.485968767
Lysias_Sels,,-1.253305876,,-1.018891636,,-0.343834027
Od_1-4,,-1.076477508,,0.060450144,,1.153515277
Od_13-16,,-0.469057859,,-0.547498227,,1.876137871
Od_17-20,,-0.170296573,,0.238062427,,1.89110534
Od_21-24,,-0.331653424,,-0.643117558,,1.185258463
Od_5-8,,-0.769034588,,-0.101521896,,0.763534471
Od_9-12,,-0.53693271,,-0.771167187,,0.237828913
Plb_1,,1.919442397,,-0.837439878,,-1.687152936
Plb_9&10,,-0.626622243,,-0.924084084,,-1.671945495
Plut_Alc,,-0.804027899,,-1.124665354,,-1.605787014
Plut_Lyc,,-0.323341168,,-1.155856369,,-1.512729887
Soph_Aj,,1.115855098,,1.804873789,,0.584741008
Soph_Ant,,-0.43546982,,1.141470767,,0.011538848
Soph_El,,-1.097379814,,1.705739935,,1.027199814
Soph_OT,,-1.185530025,,0.894535111,,1.137133769
Soph_Trach,,-0.315222092,,1.255708664,,0.358120543
Thuc_1,,-1.903711958,,-1.301100833,,-1.21745445
