"","","sWordTotal.v","sWordTotal.v"
"1",NA,NA,NA
"2",NA,NA,NA
"3",7815,5419,3309
"4",4465,3059,1808
"5",5046,3533,2113
"6",4940,3506,2168
"7",5603,3895,2368
"8",4877,3422,2020
"9",4593,3074,1806
"10",17256,13664,9950
"11",20813,15677,10608
"12",3265,2687,2164
"13",22240,17927,13274
"14",28003,21951,15731
"15",3178,2281,1436
"16",6867,5270,3650
"17",5661,3934,2423
"18",106738,75222,46291
"19",84377,57632,35211
"20",18449,14740,11383
"21",9794,8093,6185
"22",9117,7518,5761
"23",24887,20461,15651
"24",13010,10925,8654
"25",18608,15418,11971
"26",10542,8566,6510
"27",15110,12529,9794
"28",10072,8331,6590
"29",7517,5257,3284
"30",7040,5027,3133
"31",8220,5604,3530
"32",8842,6158,3922
"33",6963,5044,3348
"34",21942,17952,13787
"35",11750,9411,7059
"36",7241,5720,4243
